id,name,domain_type,tld_managers
domain_name_foo,"foo","generic","Charleston Road Registry Inc."
domain_name_food,"food","generic","Lifestyle Domain Holdings, Inc."
domain_name_foodnetwork,"foodnetwork","generic","Lifestyle Domain Holdings, Inc."
domain_name_football,"football","generic","Binky Moon, LLC"
domain_name_ford,"ford","generic","Ford Motor Company"
domain_name_forex,"forex","generic","Dog Beach, LLC"
domain_name_forsale,"forsale","generic","Dog Beach, LLC"
domain_name_forum,"forum","generic","Fegistry, LLC"
domain_name_foundation,"foundation","generic","Public Interest Registry (PIR)"
domain_name_fox,"fox","generic","FOX Registry, LLC"
domain_name_fr,"fr","country-code","Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)"
domain_name_free,"free","generic","Amazon Registry Services, Inc."
domain_name_fresenius,"fresenius","generic","Fresenius Immobilien-Verwaltungs-GmbH"
domain_name_frl,"frl","generic","FRLregistry B.V."
domain_name_frogans,"frogans","generic","OP3FT"
domain_name_frontdoor,"frontdoor","generic","Lifestyle Domain Holdings, Inc."
domain_name_frontier,"frontier","generic","Frontier Communications Corporation"
domain_name_ftr,"ftr","generic","Frontier Communications Corporation"
domain_name_fujitsu,"fujitsu","generic","Fujitsu Limited"
domain_name_fujixerox,"fujixerox","generic","Not assigned"
domain_name_fun,"fun","generic","Radix FZC"
domain_name_fund,"fund","generic","Binky Moon, LLC"
domain_name_furniture,"furniture","generic","Binky Moon, LLC"
domain_name_futbol,"futbol","generic","Dog Beach, LLC"
domain_name_fyi,"fyi","generic","Binky Moon, LLC"
domain_name_ga,"ga","country-code","Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)"
domain_name_gal,"gal","generic","Asociación puntoGAL"
domain_name_gallery,"gallery","generic","Binky Moon, LLC"
domain_name_gallo,"gallo","generic","Gallo Vineyards, Inc."
domain_name_gallup,"gallup","generic","Gallup, Inc."
domain_name_game,"game","generic","XYZ.COM LLC"
domain_name_games,"games","generic","Dog Beach, LLC"
domain_name_gap,"gap","generic","The Gap, Inc."
domain_name_garden,"garden","generic","Registry Services, LLC"
domain_name_gay,"gay","generic","Top Level Design, LLC"
domain_name_gb,"gb","country-code","Reserved Domain - IANA"
domain_name_gbiz,"gbiz","generic","Charleston Road Registry Inc."
domain_name_gd,"gd","country-code","The National Telecommunications Regulatory Commission (NTRC)"
domain_name_gdn,"gdn","generic","Joint Stock Company "Navigation-information systems""
domain_name_ge,"ge","country-code","Caucasus Online LLC"
domain_name_gea,"gea","generic","GEA Group Aktiengesellschaft"
domain_name_gent,"gent","generic","Combell nv"
domain_name_genting,"genting","generic","Resorts World Inc. Pte. Ltd."
domain_name_george,"george","generic","Wal-Mart Stores, Inc."
domain_name_gf,"gf","country-code","CANAL+ TELECOM"
domain_name_gg,"gg","country-code","Island Networks Ltd."
domain_name_ggee,"ggee","generic","GMO Internet, Inc."
domain_name_gh,"gh","country-code","Network Computer Systems Limited"
domain_name_gi,"gi","country-code","Sapphire Networks"
domain_name_gift,"gift","generic","Uniregistry, Corp."
domain_name_gifts,"gifts","generic","Binky Moon, LLC"
domain_name_gives,"gives","generic","Public Interest Registry (PIR)"
domain_name_giving,"giving","generic","Public Interest Registry (PIR)"
domain_name_gl,"gl","country-code","TELE Greenland A/S"
domain_name_glade,"glade","generic","Not assigned"
domain_name_glass,"glass","generic","Binky Moon, LLC"
domain_name_gle,"gle","generic","Charleston Road Registry Inc."
domain_name_global,"global","generic","Dot Global Domain Registry Limited"
domain_name_globo,"globo","generic","Globo Comunicação e Participações S.A"
domain_name_gm,"gm","country-code","GM-NIC"
domain_name_gmail,"gmail","generic","Charleston Road Registry Inc."
domain_name_gmbh,"gmbh","generic","Binky Moon, LLC"
domain_name_gmo,"gmo","generic","GMO Internet, Inc."
domain_name_gmx,"gmx","generic","1&1 Mail & Media GmbH"
domain_name_gn,"gn","country-code","Centre National des Sciences Halieutiques de Boussoura"
domain_name_godaddy,"godaddy","generic","Go Daddy East, LLC"
domain_name_gold,"gold","generic","Binky Moon, LLC"
domain_name_goldpoint,"goldpoint","generic","YODOBASHI CAMERA CO.,LTD."
domain_name_golf,"golf","generic","Binky Moon, LLC"
domain_name_goo,"goo","generic","NTT Resonant Inc."
domain_name_goodhands,"goodhands","generic","Not assigned"
domain_name_goodyear,"goodyear","generic","The Goodyear Tire & Rubber Company"
domain_name_goog,"goog","generic","Charleston Road Registry Inc."
domain_name_google,"google","generic","Charleston Road Registry Inc."
domain_name_gop,"gop","generic","Republican State Leadership Committee, Inc."
domain_name_got,"got","generic","Amazon Registry Services, Inc."
domain_name_gov,"gov","sponsored","Cybersecurity and Infrastructure Security Agency"
domain_name_gp,"gp","country-code","Networking Technologies Group"
domain_name_gq,"gq","country-code","GETESA"
domain_name_gr,"gr","country-code","ICS-FORTH GR"
domain_name_grainger,"grainger","generic","Grainger Registry Services, LLC"
domain_name_graphics,"graphics","generic","Binky Moon, LLC"
domain_name_gratis,"gratis","generic","Binky Moon, LLC"
domain_name_green,"green","generic","Afilias Limited"
domain_name_gripe,"gripe","generic","Binky Moon, LLC"
domain_name_grocery,"grocery","generic","Wal-Mart Stores, Inc."
domain_name_group,"group","generic","Binky Moon, LLC"
domain_name_gs,"gs","country-code","Government of South Georgia and South Sandwich Islands (GSGSSI)"
domain_name_gt,"gt","country-code","Universidad del Valle de Guatemala"
domain_name_gu,"gu","country-code","University of Guam"
domain_name_guardian,"guardian","generic","The Guardian Life Insurance Company of America"
domain_name_gucci,"gucci","generic","Guccio Gucci S.p.a."
domain_name_guge,"guge","generic","Charleston Road Registry Inc."
domain_name_guide,"guide","generic","Binky Moon, LLC"
domain_name_guitars,"guitars","generic","XYZ.COM LLC"
domain_name_guru,"guru","generic","Binky Moon, LLC"
domain_name_gw,"gw","country-code","Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação daGuiné-Bissau"
domain_name_gy,"gy","country-code","University of Guyana"
domain_name_hair,"hair","generic","XYZ.COM LLC"
domain_name_hamburg,"hamburg","generic","Hamburg Top-Level-Domain GmbH"
domain_name_hangout,"hangout","generic","Charleston Road Registry Inc."
domain_name_haus,"haus","generic","Dog Beach, LLC"
domain_name_hbo,"hbo","generic","HBO Registry Services, Inc."
domain_name_hdfc,"hdfc","generic","HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED"
domain_name_hdfcbank,"hdfcbank","generic","HDFC Bank Limited"
domain_name_health,"health","generic","DotHealth, LLC"
domain_name_healthcare,"healthcare","generic","Binky Moon, LLC"
domain_name_help,"help","generic","UNR Corp."
domain_name_helsinki,"helsinki","generic","City of Helsinki"
domain_name_here,"here","generic","Charleston Road Registry Inc."
domain_name_hermes,"hermes","generic","Hermes International"
domain_name_hgtv,"hgtv","generic","Lifestyle Domain Holdings, Inc."
domain_name_hiphop,"hiphop","generic","Dot Hip Hop, LLC"
domain_name_hisamitsu,"hisamitsu","generic","Hisamitsu Pharmaceutical Co.,Inc."
domain_name_hitachi,"hitachi","generic","Hitachi, Ltd."
domain_name_hiv,"hiv","generic","Internet Naming Co."
domain_name_hk,"hk","country-code","Hong Kong Internet Registration Corporation Ltd."
domain_name_hkt,"hkt","generic","PCCW-HKT DataCom Services Limited"
domain_name_hm,"hm","country-code","HM Domain Registry"
domain_name_hn,"hn","country-code","Red de Desarrollo Sostenible Honduras"
domain_name_hockey,"hockey","generic","Binky Moon, LLC"
domain_name_holdings,"holdings","generic","Binky Moon, LLC"
domain_name_holiday,"holiday","generic","Binky Moon, LLC"
domain_name_homedepot,"homedepot","generic","Home Depot Product Authority, LLC"
domain_name_homegoods,"homegoods","generic","The TJX Companies, Inc."
domain_name_homes,"homes","generic","XYZ.COM LLC"
domain_name_homesense,"homesense","generic","The TJX Companies, Inc."
domain_name_honda,"honda","generic","Honda Motor Co., Ltd."
domain_name_honeywell,"honeywell","generic","Not assigned"
domain_name_horse,"horse","generic","Registry Services, LLC"
domain_name_hospital,"hospital","generic","Binky Moon, LLC"
domain_name_host,"host","generic","Radix FZC"
domain_name_hosting,"hosting","generic","XYZ.COM LLC"
domain_name_hot,"hot","generic","Amazon Registry Services, Inc."
domain_name_hoteles,"hoteles","generic","Travel Reservations SRL"
domain_name_hotels,"hotels","generic","Booking.com B.V."
domain_name_hotmail,"hotmail","generic","Microsoft Corporation"
domain_name_house,"house","generic","Binky Moon, LLC"
domain_name_how,"how","generic","Charleston Road Registry Inc."
domain_name_hr,"hr","country-code","CARNet - Croatian Academic and Research Network"
domain_name_hsbc,"hsbc","generic","HSBC Global Services (UK) Limited"
domain_name_ht,"ht","country-code","Consortium FDS/RDDH"
domain_name_htc,"htc","generic","Not assigned"
domain_name_hu,"hu","country-code","Council of Hungarian Internet Providers (CHIP)"
domain_name_hughes,"hughes","generic","Hughes Satellite Systems Corporation"
domain_name_hyatt,"hyatt","generic","Hyatt GTLD, L.L.C."
domain_name_hyundai,"hyundai","generic","Hyundai Motor Company"
domain_name_ibm,"ibm","generic","International Business Machines Corporation"
domain_name_icbc,"icbc","generic","Industrial and Commercial Bank of China Limited"
domain_name_ice,"ice","generic","IntercontinentalExchange, Inc."
domain_name_icu,"icu","generic","Shortdot SA"
domain_name_id,"id","country-code","Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)"
domain_name_ie,"ie","country-code","University College Dublin Computing Services Computer Centre"
domain_name_ieee,"ieee","generic","IEEE Global LLC"
domain_name_ifm,"ifm","generic","ifm electronic gmbh"
domain_name_iinet,"iinet","generic","Not assigned"
domain_name_ikano,"ikano","generic","Ikano S.A."
domain_name_il,"il","country-code","The Israel Internet Association (RA)"
domain_name_im,"im","country-code","Isle of Man Government"
domain_name_imamat,"imamat","generic","Fondation Aga Khan (Aga Khan Foundation)"
domain_name_imdb,"imdb","generic","Amazon Registry Services, Inc."
domain_name_immo,"immo","generic","Binky Moon, LLC"
domain_name_immobilien,"immobilien","generic","Dog Beach, LLC"
domain_name_in,"in","country-code","National Internet Exchange of India"
domain_name_inc,"inc","generic","Intercap Registry Inc."
domain_name_industries,"industries","generic","Binky Moon, LLC"
domain_name_infiniti,"infiniti","generic","NISSAN MOTOR CO., LTD."
domain_name_info,"info","generic","Afilias Limited"
domain_name_ing,"ing","generic","Charleston Road Registry Inc."
domain_name_ink,"ink","generic","Top Level Design, LLC"
domain_name_institute,"institute","generic","Binky Moon, LLC"
domain_name_insurance,"insurance","generic","fTLD Registry Services LLC"
domain_name_insure,"insure","generic","Binky Moon, LLC"
domain_name_int,"int","sponsored","Internet Assigned Numbers Authority"
domain_name_intel,"intel","generic","Not assigned"
domain_name_international,"international","generic","Binky Moon, LLC"
domain_name_intuit,"intuit","generic","Intuit Administrative Services, Inc."
domain_name_investments,"investments","generic","Binky Moon, LLC"
domain_name_io,"io","country-code","Internet Computer Bureau Limited"
domain_name_ipiranga,"ipiranga","generic","Ipiranga Produtos de Petroleo S.A."
domain_name_iq,"iq","country-code","Communications and Media Commission (CMC)"
domain_name_ir,"ir","country-code","Institute for Research in Fundamental Sciences"
domain_name_irish,"irish","generic","Binky Moon, LLC"
domain_name_is,"is","country-code","ISNIC - Internet Iceland ltd."
domain_name_iselect,"iselect","generic","Not assigned"
domain_name_ismaili,"ismaili","generic","Fondation Aga Khan (Aga Khan Foundation)"
domain_name_ist,"ist","generic","Istanbul Metropolitan Municipality"
domain_name_istanbul,"istanbul","generic","Istanbul Metropolitan Municipality"
domain_name_it,"it","country-code","IIT - CNR"
domain_name_itau,"itau","generic","Itau Unibanco Holding S.A."
domain_name_itv,"itv","generic","ITV Services Limited"
domain_name_iveco,"iveco","generic","Not assigned"
domain_name_iwc,"iwc","generic","Not assigned"
domain_name_jaguar,"jaguar","generic","Jaguar Land Rover Ltd"
domain_name_java,"java","generic","Oracle Corporation"
domain_name_jcb,"jcb","generic","JCB Co., Ltd."
domain_name_jcp,"jcp","generic","Not assigned"
domain_name_je,"je","country-code","Island Networks (Jersey) Ltd."
domain_name_jeep,"jeep","generic","FCA US LLC."
domain_name_jetzt,"jetzt","generic","Binky Moon, LLC"
domain_name_jewelry,"jewelry","generic","Binky Moon, LLC"
domain_name_jio,"jio","generic","Affinity Names, Inc."
domain_name_jlc,"jlc","generic","Not assigned"
domain_name_jll,"jll","generic","Jones Lang LaSalle Incorporated"
domain_name_jm,"jm","country-code","University of West Indies"
domain_name_jmp,"jmp","generic","Matrix IP LLC"
domain_name_jnj,"jnj","generic","Johnson & Johnson Services, Inc."
domain_name_jo,"jo","country-code","Ministry of Digital Economy and Entrepreneurship (MoDEE)"
domain_name_jobs,"jobs","sponsored","Employ Media LLC"
domain_name_joburg,"joburg","generic","ZA Central Registry NPC trading as ZA Central Registry"
domain_name_jot,"jot","generic","Amazon Registry Services, Inc."
domain_name_joy,"joy","generic","Amazon Registry Services, Inc."
domain_name_jp,"jp","country-code","Japan Registry Services Co., Ltd."
domain_name_jpmorgan,"jpmorgan","generic","JPMorgan Chase Bank, National Association"
domain_name_jprs,"jprs","generic","Japan Registry Services Co., Ltd."
domain_name_juegos,"juegos","generic","UNR Corp."
domain_name_juniper,"juniper","generic","JUNIPER NETWORKS, INC."
domain_name_kaufen,"kaufen","generic","Dog Beach, LLC"
domain_name_kddi,"kddi","generic","KDDI CORPORATION"
domain_name_ke,"ke","country-code","Kenya Network Information Center (KeNIC)"
domain_name_kerryhotels,"kerryhotels","generic","Kerry Trading Co. Limited"
domain_name_kerrylogistics,"kerrylogistics","generic","Kerry Trading Co. Limited"
domain_name_kerryproperties,"kerryproperties","generic","Kerry Trading Co. Limited"
domain_name_kfh,"kfh","generic","Kuwait Finance House"
domain_name_kg,"kg","country-code","AsiaInfo Telecommunication Enterprise"
domain_name_kh,"kh","country-code","Telecommunication Regulator of Cambodia (TRC)"
domain_name_ki,"ki","country-code","Ministry of Communications, Transport, and Tourism Development"
domain_name_kia,"kia","generic","KIA MOTORS CORPORATION"
domain_name_kids,"kids","generic","DotKids Foundation Limited"
domain_name_kim,"kim","generic","Afilias Limited"
domain_name_kinder,"kinder","generic","Ferrero Trading Lux S.A."
domain_name_kindle,"kindle","generic","Amazon Registry Services, Inc."
domain_name_kitchen,"kitchen","generic","Binky Moon, LLC"
domain_name_kiwi,"kiwi","generic","DOT KIWI LIMITED"
domain_name_km,"km","country-code","Comores Telecom"
domain_name_kn,"kn","country-code","Ministry of Finance, Sustainable Development Information & Technology"
domain_name_koeln,"koeln","generic","dotKoeln GmbH"
domain_name_komatsu,"komatsu","generic","Komatsu Ltd."
domain_name_kosher,"kosher","generic","Kosher Marketing Assets LLC"
domain_name_kp,"kp","country-code","Star Joint Venture Company"
domain_name_kpmg,"kpmg","generic","KPMG International Cooperative (KPMG International Genossenschaft)"
domain_name_kpn,"kpn","generic","Koninklijke KPN N.V."
domain_name_kr,"kr","country-code","Korea Internet & Security Agency (KISA)"
domain_name_krd,"krd","generic","KRG Department of Information Technology"
domain_name_kred,"kred","generic","KredTLD Pty Ltd"
domain_name_kuokgroup,"kuokgroup","generic","Kerry Trading Co. Limited"
domain_name_kw,"kw","country-code","Communications and Information Technology Regulatory Authority"
domain_name_ky,"ky","country-code","Utility Regulation and Competition Office (OfReg)"
domain_name_kyoto,"kyoto","generic","Academic Institution: Kyoto Jyoho Gakuen"
domain_name_kz,"kz","country-code","Association of IT Companies of Kazakhstan"
domain_name_la,"la","country-code","Lao National Internet Committee (LANIC), Ministry of Posts andTelecommunications"
domain_name_lacaixa,"lacaixa","generic","CAIXA D'ESTALVIS I PENSIONS DE BARCELONA"
domain_name_ladbrokes,"ladbrokes","generic","Not assigned"
domain_name_lamborghini,"lamborghini","generic","Automobili Lamborghini S.p.A."
domain_name_lamer,"lamer","generic","The Estée Lauder Companies Inc."
domain_name_lancaster,"lancaster","generic","LANCASTER"
domain_name_lancia,"lancia","generic","Fiat Chrysler Automobiles N.V."
domain_name_lancome,"lancome","generic","Not assigned"
domain_name_land,"land","generic","Binky Moon, LLC"
domain_name_landrover,"landrover","generic","Jaguar Land Rover Ltd"
domain_name_lanxess,"lanxess","generic","LANXESS Corporation"
domain_name_lasalle,"lasalle","generic","Jones Lang LaSalle Incorporated"
domain_name_lat,"lat","generic","XYZ.COM LLC"
domain_name_latino,"latino","generic","Dish DBS Corporation"
domain_name_latrobe,"latrobe","generic","La Trobe University"
domain_name_law,"law","generic","Registry Services, LLC"
domain_name_lawyer,"lawyer","generic","Dog Beach, LLC"
domain_name_lb,"lb","country-code","American University of Beirut Computing and Networking Services"
domain_name_lc,"lc","country-code","University of Puerto Rico"
domain_name_lds,"lds","generic","IRI Domain Management, LLC"
domain_name_lease,"lease","generic","Binky Moon, LLC"
domain_name_leclerc,"leclerc","generic","A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc"
domain_name_lefrak,"lefrak","generic","LeFrak Organization, Inc."
domain_name_legal,"legal","generic","Binky Moon, LLC"
domain_name_lego,"lego","generic","LEGO Juris A/S"
domain_name_lexus,"lexus","generic","TOYOTA MOTOR CORPORATION"
domain_name_lgbt,"lgbt","generic","Afilias Limited"
domain_name_li,"li","country-code","SWITCH The Swiss Education & Research Network"
domain_name_liaison,"liaison","generic","Not assigned"
domain_name_lidl,"lidl","generic","Schwarz Domains und Services GmbH & Co. KG"
domain_name_life,"life","generic","Binky Moon, LLC"
domain_name_lifeinsurance,"lifeinsurance","generic","American Council of Life Insurers"
domain_name_lifestyle,"lifestyle","generic","Lifestyle Domain Holdings, Inc."
domain_name_lighting,"lighting","generic","Binky Moon, LLC"
domain_name_like,"like","generic","Amazon Registry Services, Inc."
domain_name_lilly,"lilly","generic","Eli Lilly and Company"
domain_name_limited,"limited","generic","Binky Moon, LLC"
domain_name_limo,"limo","generic","Binky Moon, LLC"
domain_name_lincoln,"lincoln","generic","Ford Motor Company"
domain_name_linde,"linde","generic","Linde Aktiengesellschaft"
domain_name_link,"link","generic","Nova Registry Ltd."
domain_name_lipsy,"lipsy","generic","Lipsy Ltd"
domain_name_live,"live","generic","Dog Beach, LLC"
domain_name_living,"living","generic","Lifestyle Domain Holdings, Inc."
domain_name_lixil,"lixil","generic","Not assigned"
domain_name_lk,"lk","country-code","Council for Information Technology LK Domain Registrar"
domain_name_llc,"llc","generic","Afilias Limited"
domain_name_llp,"llp","generic","Intercap Registry Inc."
domain_name_loan,"loan","generic","dot Loan Limited"
domain_name_loans,"loans","generic","Binky Moon, LLC"
domain_name_locker,"locker","generic","Dish DBS Corporation"
domain_name_locus,"locus","generic","Locus Analytics LLC"
domain_name_loft,"loft","generic","Not assigned"
domain_name_lol,"lol","generic","XYZ.COM LLC"
domain_name_london,"london","generic","Dot London Domains Limited"
domain_name_lotte,"lotte","generic","Lotte Holdings Co., Ltd."
domain_name_lotto,"lotto","generic","Afilias Limited"
domain_name_love,"love","generic","Merchant Law Group LLP"
domain_name_lpl,"lpl","generic","LPL Holdings, Inc."
domain_name_lplfinancial,"lplfinancial","generic","LPL Holdings, Inc."
domain_name_lr,"lr","country-code","Data Technology Solutions, Inc."
domain_name_ls,"ls","country-code","Lesotho Network Information Centre Proprietary (LSNIC)"
domain_name_lt,"lt","country-code","Kaunas University of Technology"
domain_name_ltd,"ltd","generic","Binky Moon, LLC"
domain_name_ltda,"ltda","generic","InterNetX Corp."
domain_name_lu,"lu","country-code","RESTENA"
domain_name_lundbeck,"lundbeck","generic","H. Lundbeck A/S"
domain_name_lupin,"lupin","generic","Not assigned"
domain_name_luxe,"luxe","generic","Registry Services, LLC"
domain_name_luxury,"luxury","generic","Luxury Partners LLC"
domain_name_lv,"lv","country-code","University of Latvia Institute of Mathematics and Computer Science Departmentof Network Solutions (DNS)"
domain_name_ly,"ly","country-code","General Post and Telecommunication Company"
domain_name_ma,"ma","country-code","Agence Nationale de Réglementation des Télécommunications (ANRT)"
domain_name_macys,"macys","generic","Macys, Inc."
domain_name_madrid,"madrid","generic","Comunidad de Madrid"
domain_name_maif,"maif","generic","Mutuelle Assurance Instituteur France (MAIF)"
domain_name_maison,"maison","generic","Binky Moon, LLC"
domain_name_makeup,"makeup","generic","XYZ.COM LLC"
domain_name_man,"man","generic","MAN SE"
domain_name_management,"management","generic","Binky Moon, LLC"
domain_name_mango,"mango","generic","PUNTO FA S.L."
domain_name_map,"map","generic","Charleston Road Registry Inc."
domain_name_market,"market","generic","Dog Beach, LLC"
domain_name_marketing,"marketing","generic","Binky Moon, LLC"
domain_name_markets,"markets","generic","Dog Beach, LLC"
domain_name_marriott,"marriott","generic","Marriott Worldwide Corporation"
domain_name_marshalls,"marshalls","generic","The TJX Companies, Inc."
domain_name_maserati,"maserati","generic","Fiat Chrysler Automobiles N.V."
domain_name_mattel,"mattel","generic","Mattel Sites, Inc."
domain_name_mba,"mba","generic","Binky Moon, LLC"
domain_name_mc,"mc","country-code","Direction des Plateformes et des Ressources Numériques"
domain_name_mcd,"mcd","generic","Not assigned"
domain_name_mcdonalds,"mcdonalds","generic","Not assigned"
domain_name_mckinsey,"mckinsey","generic","McKinsey Holdings, Inc."
domain_name_md,"md","country-code","IP Serviciul Tehnologia Informatiei si Securitate Cibernetica"
domain_name_me,"me","country-code","Government of Montenegro"
domain_name_med,"med","generic","Medistry LLC"
domain_name_media,"media","generic","Binky Moon, LLC"
domain_name_meet,"meet","generic","Charleston Road Registry Inc."
domain_name_melbourne,"melbourne","generic","The Crown in right of the State of Victoria, represented by its Department ofState Development, Business and Innovation"
domain_name_meme,"meme","generic","Charleston Road Registry Inc."
domain_name_memorial,"memorial","generic","Dog Beach, LLC"
domain_name_men,"men","generic","Exclusive Registry Limited"
domain_name_menu,"menu","generic","Dot Menu Registry LLC"
domain_name_meo,"meo","generic","Not assigned"
domain_name_merckmsd,"merckmsd","generic","MSD Registry Holdings, Inc."
domain_name_metlife,"metlife","generic","Not assigned"
domain_name_mf,"mf","country-code","Not assigned"
domain_name_mg,"mg","country-code","NIC-MG (Network Information Center Madagascar)"
domain_name_mh,"mh","country-code","Office of the Cabinet"
domain_name_miami,"miami","generic","Registry Services, LLC"
domain_name_microsoft,"microsoft","generic","Microsoft Corporation"
domain_name_mil,"mil","sponsored","DoD Network Information Center"
domain_name_mini,"mini","generic","Bayerische Motoren Werke Aktiengesellschaft"
domain_name_mint,"mint","generic","Intuit Administrative Services, Inc."
domain_name_mit,"mit","generic","Massachusetts Institute of Technology"
domain_name_mitsubishi,"mitsubishi","generic","Mitsubishi Corporation"
domain_name_mk,"mk","country-code","Macedonian Academic Research Network Skopje"
domain_name_ml,"ml","country-code","Agence des Technologies de l’Information et de la Communication"
domain_name_mlb,"mlb","generic","MLB Advanced Media DH, LLC"
domain_name_mls,"mls","generic","The Canadian Real Estate Association"
domain_name_mm,"mm","country-code","Ministry of Transport and Communications"
domain_name_mma,"mma","generic","MMA IARD"
domain_name_mn,"mn","country-code","Datacom Co., Ltd."
domain_name_mo,"mo","country-code","Macao Post and Telecommunications Bureau (CTT)"
domain_name_mobi,"mobi","generic","Afilias Limited"
domain_name_mobile,"mobile","generic","Dish DBS Corporation"
domain_name_mobily,"mobily","generic","Not assigned"
domain_name_moda,"moda","generic","Dog Beach, LLC"
domain_name_moe,"moe","generic","Interlink Systems Innovation Institute K.K."
domain_name_moi,"moi","generic","Amazon Registry Services, Inc."
domain_name_mom,"mom","generic","XYZ.COM LLC"
domain_name_monash,"monash","generic","Monash University"
domain_name_money,"money","generic","Binky Moon, LLC"
domain_name_monster,"monster","generic","XYZ.COM LLC"
domain_name_montblanc,"montblanc","generic","Not assigned"
domain_name_mopar,"mopar","generic","Not assigned"
domain_name_mormon,"mormon","generic","IRI Domain Management, LLC ("Applicant")"
domain_name_mortgage,"mortgage","generic","Dog Beach, LLC"
domain_name_moscow,"moscow","generic","Foundation for Assistance for Internet Technologies and InfrastructureDevelopment (FAITID)"
domain_name_moto,"moto","generic","Motorola Trademark Holdings, LLC"
domain_name_motorcycles,"motorcycles","generic","XYZ.COM LLC"
domain_name_mov,"mov","generic","Charleston Road Registry Inc."
domain_name_movie,"movie","generic","Binky Moon, LLC"
domain_name_movistar,"movistar","generic","Not assigned"
domain_name_mp,"mp","country-code","Saipan Datacom, Inc."
domain_name_mq,"mq","country-code","CANAL+ TELECOM"
domain_name_mr,"mr","country-code","Université de Nouakchott Al Aasriya"
domain_name_ms,"ms","country-code","MNI Networks Ltd."
domain_name_msd,"msd","generic","MSD Registry Holdings, Inc."
domain_name_mt,"mt","country-code","NIC (Malta)"
domain_name_mtn,"mtn","generic","MTN Dubai Limited"
domain_name_mtpc,"mtpc","generic","Not assigned"
domain_name_mtr,"mtr","generic","MTR Corporation Limited"
domain_name_mu,"mu","country-code","Internet Direct Ltd"
domain_name_museum,"museum","sponsored","Museum Domain Management Association"
domain_name_music,"music","generic","DotMusic Limited"
domain_name_mutual,"mutual","generic","Northwestern Mutual MU TLD Registry, LLC"
domain_name_mutuelle,"mutuelle","generic","Not assigned"
domain_name_mv,"mv","country-code","Dhiraagu Pvt. Ltd. (DHIVEHINET)"
domain_name_mw,"mw","country-code","Malawi Sustainable Development Network Programme (Malawi SDNP)"
domain_name_mx,"mx","country-code","NIC-Mexico ITESM - Campus Monterrey"
domain_name_my,"my","country-code","MYNIC Berhad"
domain_name_mz,"mz","country-code","Centro de Informatica de Universidade Eduardo Mondlane"
domain_name_na,"na","country-code","Namibian Network Information Center"
domain_name_nab,"nab","generic","National Australia Bank Limited"
domain_name_nadex,"nadex","generic","Not assigned"
domain_name_nagoya,"nagoya","generic","GMO Registry, Inc."
domain_name_name,"name","generic-restricted","VeriSign Information Services, Inc."
domain_name_nationwide,"nationwide","generic","Not assigned"
domain_name_natura,"natura","generic","NATURA COSMÉTICOS S.A."
domain_name_navy,"navy","generic","Dog Beach, LLC"
domain_name_nba,"nba","generic","NBA REGISTRY, LLC"
domain_name_nc,"nc","country-code","Office des Postes et Telecommunications"
domain_name_ne,"ne","country-code","SONITEL"
domain_name_nec,"nec","generic","NEC Corporation"
domain_name_net,"net","generic","VeriSign Global Registry Services"
domain_name_netbank,"netbank","generic","COMMONWEALTH BANK OF AUSTRALIA"
domain_name_netflix,"netflix","generic","Netflix, Inc."
domain_name_network,"network","generic","Binky Moon, LLC"
domain_name_neustar,"neustar","generic","NeuStar, Inc."
domain_name_new,"new","generic","Charleston Road Registry Inc."
domain_name_newholland,"newholland","generic","Not assigned"
domain_name_news,"news","generic","Dog Beach, LLC"
domain_name_next,"next","generic","Next plc"
domain_name_nextdirect,"nextdirect","generic","Next plc"
domain_name_nexus,"nexus","generic","Charleston Road Registry Inc."
domain_name_nf,"nf","country-code","Norfolk Island Data Services"
domain_name_nfl,"nfl","generic","NFL Reg Ops LLC"
domain_name_ng,"ng","country-code","Nigeria Internet Registration Association"
domain_name_ngo,"ngo","generic","Public Interest Registry"
domain_name_nhk,"nhk","generic","Japan Broadcasting Corporation (NHK)"
domain_name_ni,"ni","country-code","Universidad Nacional del Ingernieria Centro de Computo"
domain_name_nico,"nico","generic","DWANGO Co., Ltd."
domain_name_nike,"nike","generic","NIKE, Inc."
domain_name_nikon,"nikon","generic","NIKON CORPORATION"
domain_name_ninja,"ninja","generic","Dog Beach, LLC"
domain_name_nissan,"nissan","generic","NISSAN MOTOR CO., LTD."
domain_name_nissay,"nissay","generic","Nippon Life Insurance Company"
domain_name_nl,"nl","country-code","SIDN (Stichting Internet Domeinregistratie Nederland)"
domain_name_no,"no","country-code","Norid A/S"
domain_name_nokia,"nokia","generic","Nokia Corporation"
domain_name_northwesternmutual,"northwesternmutual","generic","Northwestern Mutual Registry, LLC"
domain_name_norton,"norton","generic","Symantec Corporation"
domain_name_now,"now","generic","Amazon Registry Services, Inc."
domain_name_nowruz,"nowruz","generic","Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti."
domain_name_nowtv,"nowtv","generic","Starbucks (HK) Limited"
